Impact ID,Gauge,RLOI_ID,Value,Units,ThresholdComment,Short Name,Description,Type,ObsFloodYear,ObsFloodMonth,Source,Longitude,Latitude
21,Brough Beck at Catterick Village,8284,1.3,mALD,"Aug 2012 Approx. 15 properties flooded in Essex Close, Bedford
Close, Warwick Close and Rutland Close. The entire ground floor of two buildings
flooded in Catterick Garrison barracks. Properties flooded from surface water first.",Property flooding Warwick Close,"Flooding to property on Warwick Close, Catterick Garrison",Property Impact,2012,August,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.740441,54.375457
22,Brough Beck at Catterick Village,8284,1.3,mALD,"Aug 2012 Approx. 15 properties flooded in Essex Close, Bedford
Close, Warwick Close and Rutland Close. The entire ground floor of two buildings
flooded in Catterick Garrison barracks. Properties flooded from surface water first.",Property flooding Rutland Close,"Flooding toproperty on Rutland Close, Catterick Garrison",Property Impact,2012,August,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.740827,54.376219
23,Brough Beck at Catterick Village,8284,1.611,mALD,"26 Sep 2012 - A1 closed at Catterick for 4 days
Surface water from agricultural land affected Gilling West and Catterick Garrison
",Flooding on A1,Flooding on A1 at Catterick,Road Impact,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.655616,54.387735
24,Brough Beck at Catterick Village,8284,1.611,mALD,23 roads closed in the Richmond area.,Flooding to roads Richmond,Flooding to roads in Richmond area,Road Impact,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.732908,54.403595
25,Brough Beck at Catterick Village,8284,2.95,mALD,1 Property flooded at Topcliffe and road flooding at Catterick Bridge,Property flooding Topcliffe,Flooding to property in Topcliffe,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.386483,54.178475
26,Brough Beck at Catterick Village,8284,2.95,mALD,1 Property flooded at Topcliffe and road flooding at Catterick Bridge,Flooding to roads Catterick Bridge,Flooding to roads in Catterick Bridge area,Road Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.650383,54.389184
27,Brough Beck at Catterick Village,8284,1.85,mALD,"Properties along Low Green and the High Street start to flood at
this level due to overtopping of the Low Green Embankment and
the Flood Gate on High Street.",Property flooding Low Green,"Flooding to property on Low Green, Catterick",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.633094,54.375551
28,Brough Beck at Catterick Village,8284,1.85,mALD,"Properties along Low Green and the High Street start to flood at
this level due to overtopping of the Low Green Embankment and
the Flood Gate on High Street.",Property flooding High Street,"Flooding to property on High Street, Catterick",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.629678,54.376197
29,Brompton Beck at Brompton,8224,1.874,mALD,26 Nov 2012 - Two roads closed in the area,Property flooding Brompton,Flooding to property at Brompton On Swale,Property Impact,2012,November,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.666919,54.390689
30,Brompton Beck at Brompton,8224,1.7,mALD,Properties on Water End start to flood at this level.,Property on Water End,"Flooding to property on Water End, Brompton On Swale",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.415934,54.363291
31,Brompton Beck at Brompton,8224,1.95,mALD,"Properties on Station Road and Manor Court will start to flood at
this level.",Property flooding Station Road,"Flooding to property on Station Road, Brompton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.424292,54.362633
32,Brompton Beck at Brompton,8224,1.95,mALD,"Properties on Station Road and Manor Court will start to flood at
this level.",Property flooding Manor Court,"Flooding to property on Manor Court, Brompton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.425856,54.362318
33,Willow Beck at Northallerton,8225,1.518,mALD,16 Apr 2005 -,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2005,April,EMERGENCY RESPONSE PROCEDURES MANUAL,,
34,Willow Beck at Northallerton,8225,1.646,mALD,21-Jan-08,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL,,
35,Willow Beck at Northallerton,8225,1.765,mALD,30-Nov-09,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2009,November,EMERGENCY RESPONSE PROCEDURES MANUAL,,
36,Willow Beck at Northallerton,8225,1.939,mALD,26-Nov-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,November,EMERGENCY RESPONSE PROCEDURES MANUAL,,
37,Willow Beck at Northallerton,8225,2.142,mALD,25-Sep-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL,,
38,Willow Beck at Northallerton,8225,1.5,mALD,The flats on Friarage Street as well as the Friarage Hospital are affected at this level,Property flooding Friarage Street,"Flooding to property on Friarage Street, Northallerton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.434075,54.341128
39,Willow Beck at Northallerton,8225,1.5,mALD,The flats on Friarage Street as well as the Friarage Hospital are affected at this level,Property flooding Friarage Hospital,"Flooding to property at Friarage hospital, Northallerton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.430801,54.342336
40,Willow Beck at Northallerton,8225,1.6,mALD,Sun Beck at Northallerton - Properties on Bramblefields will start to flood at this level.,Property flooding Bramblefields,"Flooding to property on Bramblefields, Northallerton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.417797,54.338355
41,Willow Beck at Northallerton,8225,1.6,mALD,"Willow Beck at Northallerton - Properties on Bailey Court are
affected at this level",Property flooding Bailey Court,"Flooding to property on Bailey Court, Northallerton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.441044,54.338602
42,Willow Beck at Northallerton,8225,2.5,mALD,"Turker Beck at Northallerton - Properties along Turker Lane are
affected at this level",Property flooding Turker Lane,"Flooding to property on Turker Lane, Northallerton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.419212,54.345037
43,Willow Beck at Northallerton,8225,2.8,mALD,"Willow Beck at Low Gates - Properties along High Street are
affected at this level",Property flooding High Street,"Flooding to property on High Street, Northallerton",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,1.434047,54.339121
44,Willow Beck at Romanby,8285,1.7,mALD,Willow Beck at Romanby - Properties,Property flooding Romanby,Flooding to property at Romanby,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.452725,54.33413
45,River Wiske at Kirby Wiske,8116,3.34,mALD,31-Oct-00,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
46,River Wiske at Kirby Wiske,8116,3.85,mALD,June 2000 - Properties flooded,Property flooding Kirby Wiske,Flooding to property at Kirby Wiske,Property Impact,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.422791,54.25738
47,River Wiske at Kirby Wiske,8116,3.89,mALD,7 Nov 2000 - 5 Properties flooded,Property flooding Kirby Wiske,Flooding to property at Kirby Wiske,,2000,November,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.422791,54.25738
48,River Wiske at Kirby Wiske,8116,4,mALD,Properties flooded on Green Lane. Kirby Wiske was cut off for 2 days during this event,Property flooding Green Lane,"Flooding to property at Green Lane, Kirby Wiske",,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.424739,54.25807
49,River Wiske at Kirby Wiske,8116,4.01,mALD,07/08/2009,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
50,River Wiske at Kirby Wiske,8116,4.03,mALD,A total of 5 properties flooded.,Property flooding Kirby Wiske,Flooding to property at Kirby Wiske,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.422791,54.25738
51,River Wiske at Kirby Wiske,8116,4.03,mALD,08/11/2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
52,River Wiske at Kirby Wiske,8116,4.06,mALD,03/11/2009,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
53,River Wiske at Kirby Wiske,8116,4.06,mALD,3 Nov 2000 - 5 properties flooded,Property flooding Kirby Wiske,Flooding to property at Kirby Wiske,Property Impact,2000,November,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.422791,54.25738
54,River Wiske at Kirby Wiske,8116,4.11,mALD,27/11/2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
55,River Wiske at Kirby Wiske,8116,4.17,mALD,26/09/2014,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
56,River Wiske at Kirby Wiske,8116,3,mALD,Access roads to Kirby Wiske begin to flood at this level.,Flooding to roads Kirby Wiske,Flooding to roads in Kirby Wiske area,Road Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.420432,54.257473
57,River Wiske at Kirby Wiske,8116,3.5,mALD,Access roads in Kirby Wiske,Flooding to roads Kirby Wiske,Flooding to roads in Kirby Wiske area,Road Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.420432,54.257473
58,River Wiske at Kirby Wiske,8116,3.5,mALD,Properties in Kirby Wiske,Property flooding Kirby Wiske,Flooding to property at Kirby Wiske,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.422791,54.25738
59,Cod Beck at Thirsk,8287,1.986,mALD,27-Nov-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
60,Cod Beck at Thirsk,8287,2.068,mALD,25 Nov 2012 - Heavy Flooding on A19 causing lane closure,Flooding on A19,Flooding on A19 at Thirsk,Road Impact,2012,November,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.348741,54.258773
61,Cod Beck at Thirsk,8287,2.313,mALD,26 Sep 2012 - 23 Roads closed in the Thirsk area,Flooding to roads Thirsk,Flooding to roads in Thirsk area,Road Impact,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.343762,54.235387
62,Cod Beck at Thirsk,8287,2.4,mALD,"Properties at Cod Beck at Thirsk - Riverside properties start to
flood at this level.",Flooding to Riverside,"Property flooding on Riverside, Thirsk",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.341069,54.233964
63,Cod Beck at Thirsk,8287,2.4,mALD,"The first property to flood is Seaburn Cottage (17A Finkle Street).
Also affected is the Three Tuns Public House and 1 and 3 Bridge
Street.",Property flooding Finkle Street,"Property flooding on Finkle Street, Thirsk",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.339679,54.232916
64,Cod Beck at Thirsk,8287,2.4,mALD,"The next properties to be affected will be 2-11 Riverside Mews
and properties on Todds Court and Waterside.",Property flooding Riverside Mews,"Property flooding on Riverside Mews, Thirsk",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.341592,54.233667
65,Cod Beck at Thirsk,8287,2.4,mALD,"The next properties to be affected will be 2-11 Riverside Mews
and properties on Todds Court and Waterside.",Property flooding Todds Court,"Property flooding on Todds Court, Thirsk",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.340032,54.23378
66,Cod Beck at Thirsk,8287,2.4,mALD,"The next properties to be affected will be 2-11 Riverside Mews
and properties on Todds Court and Waterside.",Property flooding Waterside,"Property flooding on Waterside, Thirsk",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.341165,54.234247
67,Cod Beck at Thirsk,8287,3.4,mALD,Other properties along Finkle Street and 1-5 Riverside Mews in Thirsk start to flood at this level.,Property flooding Finkle Street,"Property flooding on Finkle Street, Thirsk",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.339679,54.232916
68,River Swale at Crakehill,8059,5.16,mALD,Jun-00,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
69,River Swale at Crakehill,8059,5.17,mALD,Aug-02,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
70,River Swale at Crakehill,8059,5.21,mALD,Jan-82,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
71,River Swale at Crakehill,8059,5.293,mALD,07/09/2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
72,River Swale at Crakehill,8059,5.34,mALD,30/11/2009,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
73,River Swale at Crakehill,8059,5.44,mALD,"Nov 2000 - Access Roads to Topcliffe Mill Flooded. 10 properties flooded in
Topcliffe.",Property flooding Topcliffe,Property flooding at Topcliffe,Property Impact,2000,November,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.388503,54.177515
74,River Swale at Crakehill,8059,5.446,mALD,03/11/2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
75,River Swale at Crakehill,8059,5.445,mALD,23/11/2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
76,River Swale at Crakehill,8059,5.68,mALD,27/09/2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
77,River Swale at Myton-On-Swale,8144,5.1,mALD,07-Sep-08,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
78,River Swale at Myton-On-Swale,8144,5.99,mALD,27-Nov-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
79,River Swale at Myton-On-Swale,8144,6.02,mALD,"30 Nov 2009 - High Levels, Caravan Site flooded",Property flooding Myton-on-Swale,Property flooding at Myton-on-Swale,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.330146,54.09235
80,River Swale at Myton-On-Swale,8144,6.02,mALD,09-Jan-05,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
81,River Swale at Myton-On-Swale,8144,6.02,mALD,30-Nov-09,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
82,River Swale at Myton-On-Swale,8144,6.29,mALD,27-Sep-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
83,River Ure at Kilgram,8113,3.5,mALD,The Ure backs up to Bishop Monkton and floods the road to a level of approx 0.30m.,Flooding to roads at Bishops Monkton,Flooding to roads in Bishops Monkton area,Road Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.474509,54.097383
84,River Ure at Kilgram,8113,4,mALD,"Causes flooding at the Old Mill, Masham",Property flooding Masham,"Property flooding at Masham, Ripon",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.655695,54.223766
85,River Ure at Kilgram,8113,5.4,mALD,Max recorded level February 1991,Highest recorded level <<ObsFloodMonth>> <<ObsFloodYear>>,Highest recorded level <<ObsFloodMonth>> <<ObsFloodYear>> at gauge <<ObsFloodMonth>> <<ObsFloodYear>>,High Level,1991,February,EMERGENCY RESPONSE PROCEDURES MANUAL,,
86,River Ure at Masham,8133,2.23,mALD,30-Nov-09,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
87,River Ure at Masham,8133,2.64,mALD,The Old Mill flooded at this level in 1991,Property flooding Masham,"Property flooding at Masham, Ripon",,1991,February,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.655695,54.223766
88,River Ure at Masham,8133,3.1,mALD,11 Jan 2007 - The Old Mill flooded,Property flooding Masham,"Property flooding at Masham, Ripon",,2007,January,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.655695,54.223766
89,River Ure at Masham,8133,3.17,mALD,16-Jan-11,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
90,River Ure at Masham,8133,3.368,mALD,25-Sep-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
91,River Ure at Masham,8133,3.534,mALD,08 Jan 2005 - 2 properties flooded  Old Mill and Glebe Cottage,Property flooding Masham,"Property flooding at Masham, Ripon",,2005,January,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.655695,54.223766
92,River Ure at Masham,8133,4.33,mALD,Max recorded level March 1968,Highest recorded level <<ObsFloodMonth>> <<ObsFloodYear>>,Highest recorded level <<ObsFloodMonth>> <<ObsFloodYear>> at gauge <<ObsFloodMonth>> <<ObsFloodYear>>,High Level,1968,March,EMERGENCY RESPONSE PROCEDURES MANUAL,,
93,"Swinney Beck at Masham, Swinney Beck",8228,0.72,mALD,12-Feb-14,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
94,"Swinney Beck at Masham, Swinney Beck",8228,0.748,mALD,26-Nov-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
95,"Swinney Beck at Masham, Swinney Beck",8228,0.748,mALD,25-Sep-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
96,"Swinney Beck at Masham, Swinney Beck",8228,0.789,mALD,29-Nov-09,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
97,"Swinney Beck at Masham, Swinney Beck",8228,0.845,mALD,21-Jan-08,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
98,River Ure at Ripon Ure Bank,8176,3.3,mALD,Jun 2007 - 40 properties flooded. Floodwater mainly came from the River Skell.,Property flooding Ripon,Property flooding at Ripon,Property Impact,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.515121,54.141394
99,River Ure at Ripon Ure Bank,8176,3.422,mALD,30-Nov-09,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
100,River Ure at Ripon Ure Bank,8176,3.42,mALD,Sep-08,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
101,River Ure at Ripon Ure Bank,8176,3.422,mALD,06-Sep-08,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL,,
102,River Ure at Ripon Ure Bank,8176,3.73,mALD,"08 Jan 2005 - Flooding in Ripon at Fishermans Lodge, 10A Magdalens Rd
(basement flat), 2 Lodges at Holiday Park + the Laundry and office there, River View
Road, 2 Fisher Green, 3a Fisher Green, 5 Fisher Green, and Garage/Workshop at
the end of Fisher Green.",Property flooding Fisher Green Lane,"Property flooding on Fisher Green Lane, Ripon",Property Impact,2005,January,EMERGENCY RESPONSE PROCEDURES MANUAL,-1.501882,54.130423
