Impact ID,Gauge,RLOI_ID,Value,Units,"Gaugelocation (Longtitude, Latitude)","Location (Longtitude, Latitude)",ThresholdComment,Short Name,Description,Type,ObsFloodYear,ObsFloodMonth,Source
146,River Ure at Aldwark Bridge,8004,3.3,mALD,,"-1.289781,54.065189",Properties at Aldwark Bridge start to flood at 3.3mStage.,Property flooding Aldwark Bridge,Property flooding at Aldwark Bridge,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
1162,River Ure at Aldwark Bridge,8004,4,mALD,"-1.288144,54.053636",,,Filling of Linton Ings,Filling of Linton Ings commences,Community Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
380,River Aire at Armley,8009,3.15,mALD,"-1.574829,53.801534",,Peak Level - 24 September 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL
381,River Aire at Armley,8009,3.23,mALD,"-1.574829,53.801534",,Peak Level - June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL
382,River Aire at Armley,8009,3.32,mALD,"-1.574829,53.801534",,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL
383,River Aire at Armley,8009,3.39,mALD,"-1.574829,53.801534",,Peak Level - September 1993,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1993,September,EMERGENCY RESPONSE PROCEDURES MANUAL
384,River Aire at Armley,8009,3.42,mALD,"-1.574829,53.801534",,Peak Level - September 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL
385,River Aire at Armley,8009,3.44,mALD,"-1.574829,53.801534",,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
386,River Aire at Armley,8009,3.69,mALD,"-1.574829,53.801534",,Peak Level - October 1967,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1967,October,EMERGENCY RESPONSE PROCEDURES MANUAL
387,River Aire at Armley,8009,3.78,mALD,"-1.574829,53.801534",,Peak Level - 25 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
388,River Aire at Armley,8009,3.81,mALD,"-1.574829,53.801534",,Peak Level - 12 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
389,River Aire at Armley,8009,3.83,mALD,"-1.574829,53.801534",,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL
390,River Aire at Armley,8009,4.03,mALD,"-1.574829,53.801534",,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL
391,River Aire at Armley,8009,5.21,mALD,"-1.574829,53.801534",,Peak Level - 27 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
392,River Aire at Armley,8009,3.97,mALD,,"-1.507549,53.775286","The first area to flood is around the City of Leeds Sea Cadets
building on Thwaite Lane",Property flooding Thwaite Lane,"Property flooding on Thwaite Lane, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
393,River Aire at Armley,8009,4.52,mALD,,"-1.570072,53.802027","The first property to flood is Queensbury Jewellers Lts, 336
Kirkstall Road.",Property flooding Kirkstall Road,"Property flooding on Kirkstall Road, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
394,River Aire at Armley,8009,5.04,mALD,,"-1.567839,53.803791","The first area to flood is the Television Studios, Oilgear Towler,
37 Burley Road and Cavendish Street area",Property flooding Burley Road,"Property flooding on Burley Road, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
395,River Aire at Armley,8009,5.04,mALD,,"-1.567150,53.800987","The first area to flood is the Television Studios, Oilgear Towler,
37 Burley Road and Cavendish Street area",Property flooding Cavendish Street,"Property flooding on Cavendish Street, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
396,River Aire at Armley,8009,5.04,mALD,,"-1.557543,53.796205",The first property to flood is the Crowne Plaza Hotel.,Property flooding Wellington Place,"Property flooding on Wellington Place, Leeds",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
237,River Wharfe at Arthington,8010,4.074,mALD,"-1.552492,53.903016",,01-Feb-95,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1995,February,EMERGENCY RESPONSE PROCEDURES MANUAL
238,River Wharfe at Arthington,8010,4.069,mALD,"-1.552492,53.903016",,25-Sep-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL
239,River Wharfe at Arthington,8010,4.103,mALD,"-1.552492,53.903016",,31-Oct-00,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,October,EMERGENCY RESPONSE PROCEDURES MANUAL
240,River Wharfe at Arthington,8010,4.138,mALD,"-1.552492,53.903016",,11-Feb-02,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL
241,River Wharfe at Arthington,8010,3.85,mALD,,"-1.526065,53.909458",Harewood Bridge starts to flood at this level.,Flooding on Harewood Bridge,"Flooding on Harewood Bridge, Leeds",Road Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
1008,River Dearne at Barnsley,8015,0.98,mALD,"-1.473078,53.560696",,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL
1009,River Dearne at Barnsley,8015,1.3,mALD,"-1.473078,53.560696",,Peak Level - June 1982,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1982,June,EMERGENCY RESPONSE PROCEDURES MANUAL
1010,River Dearne at Barnsley,8015,1.44,mALD,"-1.473078,53.560696",,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,,EMERGENCY RESPONSE PROCEDURES MANUAL
1011,River Dearne at Barnsley,8015,1.45,mALD,"-1.473078,53.560696",,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL
1012,River Dearne at Barnsley,8015,1.63,mALD,"-1.473078,53.560696",,Peak Level - 06 July 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,July,EMERGENCY RESPONSE PROCEDURES MANUAL
1013,River Dearne at Barnsley,8015,2.33,mALD,"-1.473078,53.560696",,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
1014,River Dearne at Barnsley,8015,2.75,mALD,"-1.473078,53.560696",,Peak Level - 25 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
1,River Aire at Beal Weir Bridge,8017,3.75,mALD,,"-1.192680,53.720666","Kellington Ings will start to fill
Birkin Holme Washland will start to fill",Defence at Kellington Ings,Defence at Kellington Ings will start to fill,Defence,,,Flood Resiliance
2,River Aire at Beal Weir Bridge,8017,3.75,mALD,,"-1.192680,53.720666","Kellington Ings will start to fill
Birkin Holme Washland will start to fill",Defence at Birkin Holme,Defence at Birkin Holme Washland will start to fill,Defence,,,Flood Resiliance
433,River Aire at Beal Weir Bridge,8017,4.07,mALD,"-1.198257,53.723209",,Peak Level - 15 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
434,River Aire at Beal Weir Bridge,8017,4.08,mALD,"-1.198257,53.723209",,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL
435,River Aire at Beal Weir Bridge,8017,4.08,mALD,"-1.198257,53.723209",,Peak Level - 15 November 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,November,EMERGENCY RESPONSE PROCEDURES MANUAL
436,River Aire at Beal Weir Bridge,8017,4.1,mALD,"-1.198257,53.723209",,Peak Level - 13 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
437,River Aire at Beal Weir Bridge,8017,4.11,mALD,"-1.198257,53.723209",,Peak Level - 26 September 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL
438,River Aire at Beal Weir Bridge,8017,4.11,mALD,"-1.198257,53.723209",,Peak Level - 26 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
439,River Aire at Beal Weir Bridge,8017,4.11,mALD,"-1.198257,53.723209",,Peak Level - 23 June 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,June,EMERGENCY RESPONSE PROCEDURES MANUAL
440,River Aire at Beal Weir Bridge,8017,4.11,mALD,"-1.198257,53.723209",,Peak Level - 22 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,June,EMERGENCY RESPONSE PROCEDURES MANUAL
441,River Aire at Beal Weir Bridge,8017,4.12,mALD,"-1.198257,53.723209",,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL
442,River Aire at Beal Weir Bridge,8017,4.13,mALD,"-1.198257,53.723209",,Peak Level - 27 December 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,December,EMERGENCY RESPONSE PROCEDURES MANUAL
1131,River Ouse at Blacktoft,8024,5.06,mALD,"-0.725879,53.707432",,Peak Level - 17 October 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,October,EMERGENCY RESPONSE PROCEDURES MANUAL
1132,River Ouse at Blacktoft,8024,5.35,mALD,"-0.725879,53.707432",,27-Nov-11,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2011,November,EMERGENCY RESPONSE PROCEDURES MANUAL
1133,River Ouse at Blacktoft,8024,6.01,mALD,"-0.725879,53.707432",,Peak Level - 5 December 2013,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2013,December,EMERGENCY RESPONSE PROCEDURES MANUAL
1029,River Dearne at Bolton Bridge,8027,2.44,mALD,"-1.312304,53.513589",,Peak Level - 21 January 2008,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2008,January,EMERGENCY RESPONSE PROCEDURES MANUAL
1030,River Dearne at Bolton Bridge,8027,2.52,mALD,"-1.312304,53.513589",,Peak Level - 07 July 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,July,EMERGENCY RESPONSE PROCEDURES MANUAL
1031,River Dearne at Bolton Bridge,8027,2.89,mALD,"-1.312304,53.513589",,Peak Level - 16 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
1032,River Dearne at Bolton Bridge,8027,3.54,mALD,"-1.312304,53.513589",,Peak Level - 26 June 2007,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2007,June,EMERGENCY RESPONSE PROCEDURES MANUAL
1033,River Dearne at Bolton Bridge,8027,3.1,mALD,,"-1.312187,53.512964","Mexborough Road and Watermead Properties begin to flood in this area when the gauge records a
level above 3.10",Property flooding Mexborough Road,"Property flooding on Mexborough Road, Adwick upon Dearne",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
1034,River Dearne at Bolton Bridge,8027,3.1,mALD,,"-1.312576,53.515356","Mexborough Road and Watermead Properties begin to flood in this area when the gauge records a
level above 3.10",Property flooding Watermead,"Property flooding on Watermead, Bolton upon Dearne",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
1035,River Dearne at Bolton Bridge,8027,3.53,mALD,,"-1.319478,53.515644","Coniston Drive and Dearne Road Properties begin to flood in this area when the gauge records a
level above 3.53",Property flooding Coniston Drive,"Property flooding on Coniston Drive, Bolton upon Dearne",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
1036,River Dearne at Bolton Bridge,8027,3.53,mALD,,"-1.325390,53.513222","Coniston Drive and Dearne Road Properties begin to flood in this area when the gauge records a
level above 3.53",Property flooding Dearne Road,"Property flooding on Dearne Road, Bolton upon Dearne",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
1037,River Dearne at Bolton Bridge,8027,3.59,mALD,,"-1.304809,53.51734","Lowfield Road Properties begin to flood in this area when the gauge records a
level above 3.59",Property flooding Lowfield Road,"Property flooding on Lowfield Road, Bolton upon Dearne",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
125,River Ure at Boroughbridge,8028,16.43,m AOD,"-1.394348,54.097025",,05-Dec-02,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL
126,River Ure at Boroughbridge,8028,15.59,m AOD,,"-1.385329,54.102389","08 Jan 2005 - 10 properties flooded at Milby. 21 people evacuated from homes in
Milby Island and 15 people needed overnight accommodation.",Property flooding Milby,Property flooding at Milby,Property Impact,2005,January,EMERGENCY RESPONSE PROCEDURES MANUAL
127,River Ure at Boroughbridge,8028,15.79,m AOD,,"-1.394064,54.096624","26 Sep 2012 - 11 Roads closed in the Boroughbridge area. About 20 residents at
Minerva Court lost power and had to be rescued by firefighters. Couple rescued
from boat on River Ure",Property flooding Boroughbridge,Property flooding at Boroughbridge,Property Impact,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL
128,River Ure at Boroughbridge,8028,15.79,m AOD,,"-1.395290,54.097923","26 Sep 2012 - 11 Roads closed in the Boroughbridge area. About 20 residents at
Minerva Court lost power and had to be rescued by firefighters. Couple rescued
from boat on River Ure",Property flooding Minerva Court,"Property flooding at Minerva Court, Boroughbridge",Property Impact,2012,September,EMERGENCY RESPONSE PROCEDURES MANUAL
129,River Ure at Boroughbridge,8028,16.35,m AOD,"-1.394348,54.097025",,18-Nov-03,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL
130,River Ure at Boroughbridge,8028,15.79,m AOD,"-1.394348,54.097025",,26-Sep-12,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL
131,River Ure at Boroughbridge,8028,16.43,m AOD,"-1.394348,54.097025",,01-Aug-03,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,,,EMERGENCY RESPONSE PROCEDURES MANUAL
132,River Ure at Boroughbridge,8028,14.6,m AOD,,"-1.385251,54.102611",Properties on Milby Island start to flood at this level.,Property flooding Milby,Property flooding at Milby,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
133,River Ure at Boroughbridge,8028,16.24,m AOD,,"-1.402999,54.099079,",Properties on Riverside Gardens in Langthorpe begin to flood at 16.24mAOD. Gardens begin to flood at 16.00mAOD.,Property flooding Riverside Gardens,"Property flooding on Riverside Gardens, Langthorpe",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
134,River Ure at Boroughbridge,8028,16.3,m AOD,,"-1.396080,54.097261",Flood defences begin to overtop at 16.30mAOD.,Defence at Boroughbridge,Overtopping of defence at Boroughbridge,Defence,,,EMERGENCY RESPONSE PROCEDURES MANUAL
135,River Ure at Boroughbridge,8028,16.6,m AOD,,"-1.412649,54.089802","Roads/properties at Bar Lane Roecliffe begin to flood at
16.60mAOD.",Property flooding Bar Lane,"Property flooding on Bar Lane, Roecliffe",Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
136,River Ure at Boroughbridge,8028,16.65,m AOD,,"-1.323924,54.079326","Flood defences at Lower Dunsforth begin to overtop at a
Boroughbridge level of 16.65mAOD.",Defence at Lower Dunsforth,Overtopping of defence at Lower Dunsforth,Defence,,,EMERGENCY RESPONSE PROCEDURES MANUAL
137,River Ure at Boroughbridge,8028,15.3,m AOD,,"-1.323924,54.079326",Access roads to Lower Dunsforth except Mary Lane begin to flood at this level.,Flooding to roads Lower Dunsforth,Flooding to roads in Lower Dunsforth area,Road Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
138,River Ure at Boroughbridge,8028,16.24,m AOD,,"-1.404064,54.098897","The lowest property threshold in Langthorpe is 16.24mAOD but
gardens flood at 16.00mAOD.",Property flooding Langthorpe,Property flooding at Langthorpe,Property Impact,,,EMERGENCY RESPONSE PROCEDURES MANUAL
671,River Calder at Brighouse,8032,1.62,mALD,"-1.793955,53.701444",,Peak Level - Autumn 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,,EMERGENCY RESPONSE PROCEDURES MANUAL
672,River Calder at Brighouse,8032,1.65,mALD,"-1.793955,53.701444",,Peak Level - 15 November 2015,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2015,November,EMERGENCY RESPONSE PROCEDURES MANUAL
673,River Calder at Brighouse,8032,1.65,mALD,"-1.793955,53.701444",,Peak Level - February 2002,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2002,February,EMERGENCY RESPONSE PROCEDURES MANUAL
674,River Calder at Brighouse,8032,1.68,mALD,"-1.793955,53.701444",,Peak Level - October 1980,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,1980,October,EMERGENCY RESPONSE PROCEDURES MANUAL
675,River Calder at Brighouse,8032,1.78,mALD,"-1.793955,53.701444",,Peak Level - June 2000,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2000,June,EMERGENCY RESPONSE PROCEDURES MANUAL
676,River Calder at Brighouse,8032,1.83,mALD,"-1.793955,53.701444",,Peak Level - 23 June 2012,Level recorded <<ObsFloodMonth>> <<ObsFloodYear>>,Level recorded here <<ObsFloodMonth>> <<ObsFloodYear>>,Historic,2012,June,EMERGENCY RESPONSE PROCEDURES MANUAL
